|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
81|Baltica Towers, idealny stan, kort tenisowy, taras|Gdańsk Brzeźno, Gen. Józefa Hallera|51.745911|19.810155|70.5|3|2019|24809|Mieszkanie|1|1|0|0|1|2|0|0|0|secondary
82|Duży balkon. superlokalizacja - 400m od Długiej.|Gdańsk Długie Ogrody, Świętej Barbary|54.3494938|18.6631722|6|3|1965|1395|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
83|Idealna inwestycja w samym sercu Gdańska|Gdańsk Śródmieście, Siennicka 47|54.3483443|18.6698787|49|3|1920|14245|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
84|Piękne 3 pokoje Młyny Gdańskie Ogród 223 metry|Gdańsk Siedlce, Malczewskiego 88|54.3493127|18.6344426|65.31|3|2023|19905|Mieszkanie|1|0|1|1|1|Parter|1|1|1|secondary
85|Gdańsk, ergonomiczny dom ze strefą relaksu|Gdańsk Kiełpino Górne, Lipuska|54.3370737|18.508306101585212|555.15|13|2013|7025|Dom wolnostojący|0|1|0|1|0|nan|0|1|1|secondary
86|Kawalerka - ul. Raduńska 19|Gdańsk Orunia, Raduńska|54.32788475|18.631722493704046|26|1|1970|1269|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
87|Pas nadmorski - park reagana - oliwa park|Gdańsk Przymorze, Bolesława Krzywoustego|54.41214635|18.57603169704355|48.5|2|2012|18536|Mieszkanie|1|0|0|0|1|Parter|0|0|0|secondary
88|Widok na motławę   AURA   wysoki standard|Gdańsk Stare Przedmieście, Toruńska|51.950691|19.352939|85.|3|2014|18181|Mieszkanie|1|0|0|0|1|4|0|0|0|secondary
89|20min pieszo od morza   Wysoki standard   Las|Gdynia Działki Leśne, Pomorska|54.5170178|18.5285109|76|3|2010|16829|Mieszkanie|1|0|0|0|1|2|0|0|0|secondary
90|Kawalerka   przestronna   dobrze skomunikowana|Gdańsk Chełm, Wincentego Witosa|54.3381301|18.616724|34.6|1|1985|12977|Mieszkanie|0|0|0|0|1|2|0|0|0|secondary
91|Przytulne mieszkanie z ogrodem|Gdańsk Jasień, Przytulna|54.352915100000004|18.529278327168402|45|2|2004|13776|Mieszkanie|0|0|1|0|0|Parter|1|1|1|secondary
92|Mieszkanie 2 pokojowe, dostępne od zaraz, Gdańsk Łostowice|Gdańsk Łostowice, Kampinoska|54.31771725|18.598374406344256|35.11|2|2024|12504|Mieszkanie|0|1|1|1|1|Parter|0|0|0|secondary
93|Central Park Morena 3 pokoje z świetną lokalizacją  klimatyzacja  hala|Gdańsk Morena, Rakoczego|54.3581005|18.5785837|51.5|3|2017|17087|Mieszkanie|1|1|1|1|1|11|0|0|0|secondary
94|Apartament z pięknym widokiem na 17 piętrze, z sauną|Gdańsk Wałowa, 25c|54.3584458|18.6514304|7|3|2018|19167|Mieszkanie|0|0|1|1|1|17|0|0|0|secondary
95|Od właściciela mieszkanie (52m2) +garaż (16m2) Wielki kack|Gdynia Wielki Kack, Górnicza 41|54.4676217|18.48157|5|2|1998|12885|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
96|Unikatowy apartament   widok na Motławę i Starówkę|Gdańsk Długie Ogrody, Sienna Grobla|54.324252|18.6344756|65.04|3|2023|1997|Mieszkanie|1|1|1|1|1|5|0|0|0|secondary
97|Apartament Premium   2 Ogródki   Hala   Wykończony|Gdańsk Letnica, Starowiejska|52.487088|19.937637|111.51|5|2024|14483|Mieszkanie|1|0|1|1|1|Parter|1|0|0|secondary
98|Luksusowy apartament z widokiem na Starówkę|Gdańsk Śródmieście, Stara Stocznia|54.3553102|18.6622584|84|3|2023|34155|Mieszkanie|1|1|1|1|1|6|0|0|0|secondary
99|Sol Marina   Ostatnie Piętro   Prywatna przystań|Gdańsk Sobieszewo, Łąkowa|51.967886|19.275366|24.64|1|2024|52719|Mieszkanie|0|0|1|1|1|2|0|0|0|secondary
100|Chełm   pierwsze piętro   3 pokoje + balkon|Gdańsk Chełm, Prof. Józefa Więckowskiego|54.333963100000005|18.613527805103786|63.4|3|1991|11498|Mieszkanie|0|1|1|1|0|1|0|1|0|secondary
101|3 pokoje na Żabiance / Morze / Ergo Arena|Gdańsk Żabianka, Gospody|54.4211917|18.5793031|44.3|3|1970|15914|Mieszkanie|0|1|1|0|0|1|0|1|0|secondary
102|Rozkładowe / ogródek / cisza i spokój|Gdynia Wiczlino, Danusi|54.488077|18.4214997|69.4|4|2017|13689|Mieszkanie|1|0|1|0|0|Parter|0|0|0|secondary
103|Mieszkanie w nadmorskiej dzielnicy|Gdańsk Stogi, Wilhelma Stryjewskiego|54.3611711|18.7119017|50.1|3|1969|10359|Mieszkanie|0|0|1|0|0|1|0|1|0|secondary
104|Mieszkanie blisko Parku Oruńskiego|Gdańsk Orunia, Raduńska|54.32788475|18.631722493704046|36|2|1970|11944|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
105|Centrum   Do remontu   Z potencjałem|Gdańsk Dolne Miasto, Polna|54.339881|18.6559494|38|2|1920|14211|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary
