title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|550 000 zł|38 m²|2|parter|wtórny|-|parking publiczny / na ulicy|
Mieszkanie, ul. Królewskie Wzgórze|Królewskie Wzgórze, Piecki-Migowo, Gdańsk, pomorskie|639 000 zł|42,24 m²|2|2|wtórny|2016|parking publiczny / na ulicy|rok budowy: 2016 (blok w nowym budownictwie)
Mieszkanie, ul. Żytnia|Żytnia, Gdańsk, pomorskie|1 004 500 zł|37,18 m²|1|6|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Apartament, Aleja Gen. Józefa Hallera|Aleja Gen. Józefa Hallera, Wrzeszcz, Gdańsk, pomorskie|879 000 zł|52,36 m²|2|5|wtórny|2010|w garażu podziemnym|apartamentowiec; rok budowy: 2010
Apartament, Aleja Rzeczypospolitej|Aleja Rzeczypospolitej, Przymorze, Gdańsk, pomorskie|1 990 000 zł|103,14 m²|4|17|wtórny|2015|w garażu podziemnym|apartamentowiec; rok budowy: 2015
Mieszkanie, ul. Hokejowa|Hokejowa, Łostowice, Gdańsk, pomorskie|482 932 zł|42,80 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|garaż wolnostojący|blok mieszkalny; rok budowy: 2023
Mieszkanie|Stankiewicza, Kokoszki, Gdańsk, pomorskie|663 472 zł|67,93 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2022|-|dom wielorodzinny; rok budowy: 2022
Mieszkanie, ul. Bulońska|Bulońska, Jasień, Gdańsk, pomorskie|946 244 zł|85,76 m²|4|parter|wtórny|2025|parking publiczny / na ulicy|rok budowy: 2025
Apartament Gdańsk|Oliwa, Gdańsk, pomorskie|1 244 931 zł|64,30 m²|3|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|garaż wolnostojący|apartamentowiec
Mieszkanie, ul. Wałowa|Wałowa, Śródmieście, Gdańsk, pomorskie|1 353 164 zł|82,38 m²|4|6|wtórny|-|parking publiczny / na ulicy|
Apartament, ul. Stężycka|Stężycka, Jasień, Gdańsk, pomorskie|599 000 zł|48,29 m²|2|4|wtórny|2018|garaż|apartamentowiec; rok budowy: 2018 (blok w nowym budownictwie)
Apartament, ul. Klimatyczna|Klimatyczna, Sobieszewo, Gdańsk, pomorskie|475 000 zł|30,14 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|przynależne na ulicy|apartamentowiec; rok budowy: 2025 (blok w nowym budownictwie)
Mieszkanie, ul. Wielkopolska|Wielkopolska, Orunia Górna, Gdańsk, pomorskie|590 097 zł|61,67 m²|3|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie|Starowiejska, Letnica, Gdańsk, pomorskie|797 760 zł|49,86 m²|3|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|tak|blok mieszkalny; rok budowy: 2023
Kawalerka, ul. Orłowska|Orłowska, Jelitkowo, Gdańsk, pomorskie|450 000 zł|24 m²|1|4|wtórny|1970|parking strzeżony w pobliżu|blok mieszkalny; rok budowy: 1970 (blok w starym budownictwie)
