title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
"""Klucze do szczęścia - Twoje wymarzone mieszkanie"|Kartuska 45-59, Chylonia, Gdynia, pomorskie|540000.0|43.9|2|3|wtórny|balkon|garaż/miejsce parkingowe|nie|1969|1.0|blok|1.0
"Ogrody Diany |Hery 7/38"|ul. Diany, Osowa, Gdańsk, pomorskie|530000.0|47.25|2|parter|pierwotny|ogródek|garaż/miejsce parkingowe|tak|2025|1.0|blok|1.0
Widna kuchnia_dwie łazienki_duży balkon_widokowe|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|544945.0|59.24|4|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
Narożne_słoneczne_szybki odbiór_wc i łazienka|ul. Starogardzka, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|498153.0|51.71|3|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
1-pokojowe mieszkanie 33m2 + ogródek Bez Prowizji|ul. Władysława Czermińskiego, Jasień, Gdańsk, pomorskie|399900.0|33.41|1|parter||ogródek|garaż/miejsce parkingowe|||||
lokal INWESTYCYJNIE >30m2 cenaBrutto ODLICZ VAT23%|Śródmieście, Gdańsk, pomorskie|542299.0|37.21|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
4-pokojowe mieszkanie 74m2 + ogródek Bezpośrednio|Starowiejska/ul. Sucha, Letnica, Gdańsk, pomorskie|853384.0|74.56|4|parter||taras, ogródek|garaż/miejsce parkingowe|||||
ENERGOOSZCZĘDNE Mieszkanie 90 m2,|Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|389000.0|90.0|4|parter|pierwotny|||nie||0.0|dom wolnostojący|0.0
5-pokojowe mieszkanie 86m2 + balkon Bezpośrednio|ul. Jaśkowa Dolina 85, Wrzeszcz Górny, Gdańsk, pomorskie|1216611.0|86.67|5|1||balkon|garaż/miejsce parkingowe|||||
4-pokojowe mieszkanie 76m2 + balkon|ul. Jaśkowa Dolina 85, Wrzeszcz Górny, Gdańsk, pomorskie|1033977.0|76.89|4|4||balkon|garaż/miejsce parkingowe|||||
3-pokojowe mieszkanie 52m2 + balkon Bezpośrednio|ul. Jaśkowa Dolina 85, Wrzeszcz Górny, Gdańsk, pomorskie|831032.0|52.97|3|4||balkon|garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 62m2 + balkon Bez Prowizji|ul. Jaśkowa Dolina 85, Wrzeszcz Górny, Gdańsk, pomorskie|1006673.0|62.86|2|3||balkon|garaż/miejsce parkingowe|||||
Mieszkanie - Gdańsk Zaspa|ul. Kombatantów, Zaspa-Rozstaje, Gdańsk, pomorskie|668000.0|48.2|2|2|wtórny|balkon||tak|1970|0.0|blok|0.0
17teOstatniePiętroWidokNaZatokęGdańskąBezpośrednio|Letnica, Gdańsk, pomorskie|899100.0|48.6|2|> 10|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|apartamentowiec|1.0
Przestronne, dwupoziomowe mieszkanie|ul. Oliwkowa, Dąbrowa, Gdynia, pomorskie|890000.0|89.92|4|3|wtórny|balkon||nie|2001|1.0|blok|1.0
Mieszkanie - Gdańsk Morena|ul. Karola Kurpińskiego, Suchanino, Gdańsk, pomorskie|539000.0|42.0|2|parter|wtórny|balkon||nie|1975|0.0|blok|1.0
