title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Mieszkanie 2 pokojowe na osiedlu Przystań Letnica|48.23|2.0|1-3|primary|0|1|2023.0|1.0|Apartment|0.0|15104.71|1|0|0|starowiejska 79|letnica|gdansk|54.400365|18.648891
Plac Unii, 2 pokoje, słoneczne balkon hala komórka|47.6|2.0|1-3|secondary|1|1|2021.0|1.0|Apartment|0.0|27310.92|1|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271
Widok na morze 104m2, 2 balkony 2 X hala, komórka|104.23|3.0|4-7|secondary|1|1|2012.0|1.0|Apartment|0.0|15254.73|1|0|1|chwarznieńska|witomino|gdynia|54.498498|18.509001
BALTIQ PLAZA apartament z balkonem|97.36|3.0|1-3|secondary|1|1|2015.0|0.0|Apartment|0.0|29786.36|1|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188
Sopot, nowy apartament z ogrodem, 8 minut do plaży|38.74|2.0|0|secondary|0|1|2023.0|0.0|Apartment|1.0|33298.92|0|1|1|lisie wzgórze|górny sopot|sopot|54.468501|18.513716
OKAZJE CENOWE do soboty -> umów spotkanie dziś/sob|37.0|2.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|10405.14|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
4 Pokoje Dla Rodziny I Ogródek I Bez Prowizji|79.78|4.0|0|secondary|1|1|2019.0|0.0|Apartment|0.0|14665.33|0|1|1|chylońska|cisowa|gdynia|54.548571|18.443583
Stylowy Apartament/studio/Gotowiec Inwestycyjny|30.0|1.0|4-7|secondary|0|0|2021.0|1.0|Apartment|0.0|18966.67|0|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024
Mieszkanie - Gdynia Wielki Kack|71.6|4.0|1-3|secondary|0|0|1999.0|1.0|Apartment|0.0|10474.86|1|0|0|lipowa|wielki kack|gdynia|54.467664|18.492842
Mieszkanie - Gdynia Wiczlino|122.0|5.0|1-3|primary|1|0|2015.0|0.0|House|0.0|8900.0|1|1|0||chwarzno-wiczlino|gdynia|54.490386|18.423491
Apartament 2 pok Gdańsk Brabank garaż balkon|48.0|2.0|1-3|secondary|1|1|2023.0|1.0|Apartment|0.0|30000.0|1|0|0|stara stocznia|śródmieście|gdansk|54.355462|18.661959
Apartament 3 pok Silver House balkon|70.0|3.0|1-3|secondary|0|1|2015.0|1.0|Apartment|0.0|27142.86|1|0|0|zygmunta augusta|śródmieście|gdynia|54.520471|18.540307
Apartament 3 pok duży taras 2 miejsca garażowe|85.0|3.0|1-3|secondary|1|1|2012.0|1.0|Apartment|0.0|15882.35|1|0|1|taborowa|suchanino|gdansk|54.355805|18.607162
Mieszkanie w kameralnej kamienicy na Oksywiu|71.8|2.0|1-3|secondary|0|0|1936.0|1.0|Apartment|1.0|11977.72|1|0|0|arendta dickmana|oksywie|gdynia|54.554204|18.547169
Apartament Gdynia Orłowo Nowe Kolibki garaż 3 pok|69.0|3.0|1-3|secondary|1|1|2017.0|1.0|Apartment|0.0|31739.13|1|1|0|bernadowska|orłowo|gdynia|54.475629|18.552093
Mieszkanie - Gdynia Mały Kack|86.0|3.0|1-3|secondary|1|0|2010.0|1.0|Apartment|0.0|13837.21|1|0|0|leśna|mały kack|gdynia|54.468913|18.519745
Mieszkanie 3 pokojowe ul.Hokejowa|52.76|3.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|9097.8|1|0|0|hokejowa|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Przytulne mieszkanie dla rodziny|83.0|4.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|10831.33|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Duże mieszkanie Alfa Park IV|85.16|3.0|0|secondary|1|0|2021.0|0.0|Apartment|0.0|16499.0|0|1|1|gen. władysława andersa|jasień|gdansk|54.351884|18.549576
Dwupokojowe słoneczne mieszkanie - 47m2|47.3|2.0|1-3|secondary|1|1|2015.0|1.0|Apartment|1.0|13107.82|1|0|1|płocka|ujeścisko-łostowice|gdansk|54.31911|18.591801
